1-Methyladenosine_pos-001,Carnitine-C18_pos-051,Guanidineacetic acid_pos-087,Hypoxanthine_pos-096,NMN_pos-162,Succinate_neg-079,state
0.000849749,9.06944E-05,0.000392758,4.7241E-05,4.15056E-06,0.000600456,0
0.000860185,3.17255E-05,0.000317934,0.002818387,8.36045E-06,0.000856799,0
0.000878133,4.79448E-05,0.00031163,0.003945345,2.14575E-05,0.000686152,0
0.000913915,2.49804E-05,0.00031972,0.006222655,6.13947E-06,0.000587285,0
0.000709527,4.94256E-05,0.000409059,0.001340031,5.37963E-06,0.000636684,0
0.001000674,4.68111E-05,0.000365538,0.000233683,1.13135E-05,0.000867615,0
0.000744699,3.82726E-05,0.000239835,0.000367076,4.23292E-06,0.000601059,0
0.000966889,8.23991E-05,0.000287649,0.002144032,6.52053E-06,0.000657445,0
0.000826552,0.000140517,0.000384416,0.002596299,1.89256E-05,0.000555693,0
0.001180565,3.04884E-05,0.00033297,0.002294072,7.2448E-06,0.000659534,0
0.000837091,2.19778E-05,0.000534092,0.00186139,9.31033E-06,0.000560689,0
0.000815453,5.81401E-05,0.000463099,0.000659447,7.60913E-06,0.000587443,0
0.000830659,7.44619E-05,0.00049265,0.003032535,6.03594E-06,0.000607345,0
0.000999383,8.40325E-05,0.000401531,0.001074803,7.87667E-06,0.000690038,0
0.000861002,6.99412E-05,0.00022761,0.001249132,4.97181E-06,0.000515773,0
0.000899569,4.98031E-05,0.000552142,0.001697249,8.25602E-06,0.000727122,0
0.000807053,4.17615E-05,0.000631701,0.001491905,2.89179E-06,0.000788915,0
0.00090267,5.93878E-05,0.000286976,0.001880794,6.46148E-06,0.0004328,0
0.000639437,5.03668E-05,0.000203447,8.70076E-05,6.50293E-06,0.00056555,0
0.000840906,7.8872E-05,0.000556465,0.004637613,7.07995E-06,0.000530032,0
0.000846368,4.22976E-05,0.000347841,9.91958E-05,5.03643E-06,0.000814126,0
0.00083521,7.11329E-05,0.000302229,0.001722646,2.53385E-06,0.000449885,0
0.000910379,2.58712E-05,0.00046536,0.002147047,1.73917E-05,0.000684677,0
0.000719114,4.18186E-05,0.000412922,0.006512416,1.47486E-05,0.00075804,0
0.000863426,7.02956E-05,0.000398872,0.002338231,7.93195E-06,0.000647599,0
0.000819601,3.19545E-05,0.000378686,0.000387321,6.36604E-06,0.000613929,0
0.00083107,3.97148E-05,0.000434633,0.00327567,8.94805E-06,0.000613471,0
0.000963736,6.7365E-05,0.000443628,0.002209136,5.6307E-06,0.000636107,0
0.000742298,8.05219E-05,0.00052623,0.005727298,1.14859E-05,0.000653933,0
0.000692931,7.25857E-05,0.000461097,0.001765938,1.45125E-05,0.00081824,0
0.000941513,3.58574E-05,0.000435731,0.001279664,9.63461E-06,0.000617133,0
0.000943378,8.07602E-05,0.000510435,0.00192807,5.80236E-06,0.000892133,0
0.000922161,8.18064E-05,0.00048286,0.003029417,8.51725E-06,0.000635693,0
0.000661615,3.8215E-05,0.000406704,0.003224801,3.77818E-06,0.000612928,0
0.000847471,4.21282E-05,0.000251018,0.000440644,2.78985E-06,0.000675084,0
