1-Methyladenosine_pos-001,Guanidineacetic acid_pos-087,NMN_pos-162,Uridine_neg-088,Hypoxanthine_pos-096,Succinate_neg-079,Carnitine-C18_pos-051,Serotonin_pos-142,N-Acetyl-D-glucosamine 6-phosphate_neg-061,Neopterin_pos-117,2-Aminooctanoic acid_pos-006,Pyroglutamic acid_neg-072,S-Adenosyl-methionine_pos-139,Lactic acid_neg-055,state
0.000826683,0.00060864,4.50297E-06,0.000796267,0.000174487,0.000600838,7.15552E-05,6.33769E-05,8.18604E-05,3.13366E-05,5.7978E-05,0.000317585,0.000502871,0.024087936,0
0.000747665,0.000472321,3.3278E-06,0.00060564,0.001956129,0.000674663,2.23291E-05,3.75084E-05,0.000132419,3.84768E-05,6.19814E-05,0.00035534,0.000602113,0.024640284,0
0.00100402,0.000384782,5.98886E-06,0.000672856,0.000767102,0.000498275,8.55031E-05,2.41792E-05,0.000122262,6.44621E-05,0.000103193,0.000272065,0.00057726,0.019546735,0
0.000869995,0.000415618,1.25234E-06,0.000562338,0.002166698,0.000584324,4.29949E-05,3.02115E-05,0.000119659,5.53088E-05,0.000105943,0.000385633,0.000433388,0.025687279,0
0.000906589,0.000380007,5.70342E-06,0.000516363,0.000138225,0.000871443,6.79233E-05,6.64097E-05,9.96214E-05,5.26399E-05,5.59109E-05,0.000465848,0.000462218,0.02727407,0
0.001154651,0.000470679,6.27607E-06,0.000601865,0.001423626,0.000851611,4.28231E-05,7.73903E-05,0.000142548,4.41745E-05,3.9701E-05,0.000263374,0.000342806,0.025968569,0
0.000735851,0.000432076,1.19333E-05,0.000601263,0.001446232,0.000457046,5.37772E-05,8.04821E-05,0.000126022,4.18105E-05,0.000103524,0.000333183,0.000520702,0.020459061,0
0.001186404,0.000367853,2.69479E-07,0.000430901,0.00597004,0.000660799,0.000133689,3.835E-05,0.000253677,8.76408E-05,3.70338E-05,0.00026063,0.000597707,0.023612991,0
0.000853964,0.000594523,7.80862E-06,0.000476605,0.002146965,0.000675369,1.9881E-05,4.02064E-05,9.59424E-05,4.81999E-05,3.6529E-05,0.000316956,0.000624239,0.023451842,0
0.000741401,0.000346079,3.29527E-06,0.000639161,0.001884186,0.001047033,0.00011211,2.93925E-05,0.000135692,4.29734E-05,8.57656E-05,0.000325718,0.000473744,0.030598395,0
0.000927864,0.000379821,2.66231E-06,0.000240134,0.001303463,0.000327828,1.30509E-05,4.56968E-05,0.000126416,6.31889E-05,1.58216E-05,8.984E-05,0.000402541,0.010671463,1
0.000911282,0.000286815,2.39736E-05,0.000411776,0.003813537,0.000644815,3.39231E-05,0.000416455,0.00010074,4.81042E-05,0.000127746,0.000112842,0.000433258,0.012625671,0
0.000892843,0.000290165,6.25251E-06,0.000364983,0.001174615,0.000391609,1.15115E-05,5.61751E-05,0.000122927,5.12622E-05,6.48741E-05,0.000104993,0.000357925,0.009734489,1
